Cuenta,"Tag
1","Tag
2","Tag
3","Tag
4","Tag
5","Tag
6","Tag
7","Tag
8","Tag
9","Tag
10","Tag
11","Tag
12"
512541,EquityAndLiabilities,Equity,EquityAttributableToOwnersOfParent,OtherEquityInterest,ProfitLossFromContinuingOperations,ProfitLoss,ProfitLossBeforeTax,ProfitLossFromOperatingActivities,OtherExpenseByNature,OtherFeeAndCommissionExpense,FeeAndCommissionExpense,FeeAndCommissionIncomeExpense
512505,EquityAndLiabilities,Equity,EquityAttributableToOwnersOfParent,OtherEquityInterest,ProfitLossFromContinuingOperations,ProfitLoss,ProfitLossBeforeTax,ProfitLossFromOperatingActivities,OtherExpenseByNature,,,
512510,EquityAndLiabilities,Equity,EquityAttributableToOwnersOfParent,OtherEquityInterest,ProfitLossFromContinuingOperations,ProfitLoss,ProfitLossBeforeTax,ProfitLossFromOperatingActivities,OtherExpenseByNature,,,
512610,EquityAndLiabilities,Equity,EquityAttributableToOwnersOfParent,OtherEquityInterest,ProfitLossFromContinuingOperations,ProfitLoss,ProfitLossBeforeTax,ProfitLossFromOperatingActivities,OtherExpenseByNature,,,
512917,EquityAndLiabilities,Equity,EquityAttributableToOwnersOfParent,OtherEquityInterest,ProfitLossFromContinuingOperations,ProfitLoss,ProfitLossBeforeTax,ProfitLossFromOperatingActivities,OtherExpenseByNature,,,AdjustmentsForDecreaseIncreaseInOtherCurrentAssets
512920,EquityAndLiabilities,Equity,EquityAttributableToOwnersOfParent,OtherEquityInterest,ProfitLossFromContinuingOperations,ProfitLoss,ProfitLossBeforeTax,ProfitLossFromOperatingActivities,OtherExpenseByNature,,,AdjustmentsForDecreaseIncreaseInOtherCurrentAssets
512922,EquityAndLiabilities,Equity,EquityAttributableToOwnersOfParent,OtherEquityInterest,ProfitLossFromContinuingOperations,ProfitLoss,ProfitLossBeforeTax,ProfitLossFromOperatingActivities,OtherExpenseByNature,,,AdjustmentsForDecreaseIncreaseInOtherCurrentAssets
512925,EquityAndLiabilities,Equity,EquityAttributableToOwnersOfParent,OtherEquityInterest,ProfitLossFromContinuingOperations,ProfitLoss,ProfitLossBeforeTax,ProfitLossFromOperatingActivities,OtherExpenseByNature,,,AdjustmentsForDecreaseIncreaseInOtherCurrentAssets
512937,EquityAndLiabilities,Equity,EquityAttributableToOwnersOfParent,OtherEquityInterest,ProfitLossFromContinuingOperations,ProfitLoss,ProfitLossBeforeTax,ProfitLossFromOperatingActivities,OtherExpenseByNature,,,AdjustmentsForDecreaseIncreaseInOtherCurrentAssets
512940,EquityAndLiabilities,Equity,EquityAttributableToOwnersOfParent,OtherEquityInterest,ProfitLossFromContinuingOperations,ProfitLoss,ProfitLossBeforeTax,ProfitLossFromOperatingActivities,OtherExpenseByNature,,,AdjustmentsForDecreaseIncreaseInOtherCurrentAssets
512905,EquityAndLiabilities,Equity,EquityAttributableToOwnersOfParent,OtherEquityInterest,ProfitLossFromContinuingOperations,ProfitLoss,ProfitLossBeforeTax,ProfitLossFromOperatingActivities,Revenue,,,
513015,EquityAndLiabilities,Equity,EquityAttributableToOwnersOfParent,OtherEquityInterest,ProfitLossFromContinuingOperations,ProfitLoss,ProfitLossBeforeTax,ProfitLossFromOperatingActivities,OtherExpenseByNature,,,
513020,EquityAndLiabilities,Equity,EquityAttributableToOwnersOfParent,OtherEquityInterest,ProfitLossFromContinuingOperations,ProfitLoss,ProfitLossBeforeTax,ProfitLossFromOperatingActivities,OtherExpenseByNature,,,
513025,EquityAndLiabilities,Equity,EquityAttributableToOwnersOfParent,OtherEquityInterest,ProfitLossFromContinuingOperations,ProfitLoss,ProfitLossBeforeTax,ProfitLossFromOperatingActivities,OtherExpenseByNature,,,
513030,EquityAndLiabilities,Equity,EquityAttributableToOwnersOfParent,OtherEquityInterest,ProfitLossFromContinuingOperations,ProfitLoss,ProfitLossBeforeTax,ProfitLossFromOperatingActivities,OtherExpenseByNature,,,
513095,EquityAndLiabilities,Equity,EquityAttributableToOwnersOfParent,OtherEquityInterest,ProfitLossFromContinuingOperations,ProfitLoss,ProfitLossBeforeTax,ProfitLossFromOperatingActivities,OtherExpenseByNature,,,
513515,EquityAndLiabilities,Equity,EquityAttributableToOwnersOfParent,OtherEquityInterest,ProfitLossFromContinuingOperations,ProfitLoss,ProfitLossBeforeTax,ProfitLossFromOperatingActivities,OtherExpenseByNature,,,
513535,EquityAndLiabilities,Equity,EquityAttributableToOwnersOfParent,OtherEquityInterest,ProfitLossFromContinuingOperations,ProfitLoss,ProfitLossBeforeTax,ProfitLossFromOperatingActivities,OtherExpenseByNature,,,
514005,EquityAndLiabilities,Equity,EquityAttributableToOwnersOfParent,OtherEquityInterest,ProfitLossFromContinuingOperations,ProfitLoss,ProfitLossBeforeTax,ProfitLossFromOperatingActivities,OtherExpenseByNature,,,
514595,EquityAndLiabilities,Equity,EquityAttributableToOwnersOfParent,OtherEquityInterest,ProfitLossFromContinuingOperations,ProfitLoss,ProfitLossBeforeTax,ProfitLossFromOperatingActivities,OtherExpenseByNature,,,
515525,EquityAndLiabilities,Equity,EquityAttributableToOwnersOfParent,OtherEquityInterest,ProfitLossFromContinuingOperations,ProfitLoss,ProfitLossBeforeTax,ProfitLossFromOperatingActivities,OtherExpenseByNature,,,
515535,EquityAndLiabilities,Equity,EquityAttributableToOwnersOfParent,OtherEquityInterest,ProfitLossFromContinuingOperations,ProfitLoss,ProfitLossBeforeTax,ProfitLossFromOperatingActivities,OtherExpenseByNature,,,
515550,EquityAndLiabilities,Equity,EquityAttributableToOwnersOfParent,OtherEquityInterest,ProfitLossFromContinuingOperations,ProfitLoss,ProfitLossBeforeTax,ProfitLossFromOperatingActivities,OtherExpenseByNature,,,
515595,EquityAndLiabilities,Equity,EquityAttributableToOwnersOfParent,OtherEquityInterest,ProfitLossFromContinuingOperations,ProfitLoss,ProfitLossBeforeTax,ProfitLossFromOperatingActivities,OtherExpenseByNature,,,
516060,EquityAndLiabilities,Equity,EquityAttributableToOwnersOfParent,OtherEquityInterest,ProfitLossFromContinuingOperations,ProfitLoss,ProfitLossBeforeTax,ProfitLossFromOperatingActivities,OtherExpenseByNature,,,
516070,EquityAndLiabilities,Equity,EquityAttributableToOwnersOfParent,OtherEquityInterest,ProfitLossFromContinuingOperations,ProfitLoss,ProfitLossBeforeTax,ProfitLossFromOperatingActivities,OtherExpenseByNature,,,
517020,EquityAndLiabilities,Equity,EquityAttributableToOwnersOfParent,OtherEquityInterest,ProfitLossFromContinuingOperations,ProfitLoss,ProfitLossBeforeTax,ProfitLossFromOperatingActivities,OtherExpenseByNature,,,
517040,EquityAndLiabilities,Equity,EquityAttributableToOwnersOfParent,OtherEquityInterest,ProfitLossFromContinuingOperations,ProfitLoss,ProfitLossBeforeTax,ProfitLossFromOperatingActivities,OtherExpenseByNature,,,
519025,EquityAndLiabilities,Equity,EquityAttributableToOwnersOfParent,OtherEquityInterest,ProfitLossFromContinuingOperations,ProfitLoss,ProfitLossBeforeTax,ProfitLossFromOperatingActivities,OtherExpenseByNature,,,
519085,EquityAndLiabilities,Equity,EquityAttributableToOwnersOfParent,OtherEquityInterest,ProfitLossFromContinuingOperations,ProfitLoss,ProfitLossBeforeTax,ProfitLossFromOperatingActivities,OtherExpenseByNature,,,
